2024-12-23 06:15:35,264 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A8B4E30>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 21.29189682006836, 'REG_CA': 1342}
2024-12-23 06:15:35,320 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F47D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 21.29189682006836, 'REG_CA': 1342}
2024-12-23 06:15:39,354 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A8B54C0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 69.1893310546875, 'REG_CA': 1343}
2024-12-23 06:15:39,416 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F5DF0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 69.1893310546875, 'REG_CA': 1343}
2024-12-23 06:15:46,429 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A8B7BC0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 79.41637420654297, 'REG_CA': 1342}
2024-12-23 06:15:46,490 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F6930>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 79.41637420654297, 'REG_CA': 1342}
2024-12-23 06:15:50,503 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A89EB70>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 92.82113647460938, 'REG_CA': 1343}
2024-12-23 06:15:50,567 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F5BB0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 92.82113647460938, 'REG_CA': 1343}
2024-12-23 06:15:57,610 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A8B6630>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 27.85447883605957, 'REG_CA': 1342}
2024-12-23 06:15:57,671 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F6120>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 27.85447883605957, 'REG_CA': 1342}
2024-12-23 06:16:01,659 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A8B6270>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 55.71388626098633, 'REG_CA': 1343}
2024-12-23 06:16:01,737 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F5850>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 55.71388626098633, 'REG_CA': 1343}
2024-12-23 06:16:08,745 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A8B5370>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 60.95545959472656, 'REG_CA': 1342}
2024-12-23 06:16:08,814 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F4740>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32066, 'value': 60.95545959472656, 'REG_CA': 1342}
2024-12-23 06:16:12,833 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002D84A8B42F0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 24.950098037719727, 'REG_CA': 1343}
2024-12-23 06:16:12,911 - Error connecting to API: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /api/lavilla (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B2844F7560>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')), Data: {'direccion': 32067, 'value': 24.950098037719727, 'REG_CA': 1343}
